variable,group,value
"Pidcock, Laura",DeXEU,2
"Pidcock, Laura",DfE,2
"Pidcock, Laura",DHSC,2
"Pidcock, Laura",DWP,4
"Pidcock, Laura",FCO,1
"Pidcock, Laura",Home Office,2
"Pidcock, Laura",MHCLG,4
"Pidcock, Laura",Minister for Women and Equalities,2
"Pidcock, Laura",Ministry of Justice,3
"Pidcock, Laura",Prime Minister,8
"Pidcock, Laura",Treasury,3
"Pincher, Christopher",DHSC,2
"Platt, Jo",Attorney General,2
"Platt, Jo",BEIS,2
"Platt, Jo",Cabinet Office,10
"Platt, Jo",DDCMS,1
"Platt, Jo",DEFRA,1
"Platt, Jo",Department for Transport,1
"Platt, Jo",DeXEU,4
"Platt, Jo",DfE,4
"Platt, Jo",DfID,1
"Platt, Jo",DIT,2
"Platt, Jo",DWP,2
"Platt, Jo",Home Office,6
"Platt, Jo",MHCLG,2
"Platt, Jo",Minister for Women and Equalities,2
"Platt, Jo",Ministry of Defence,2
"Platt, Jo",Ministry of Justice,3
"Platt, Jo",Prime Minister,12
"Pollard, Luke",Attorney General,2
"Pollard, Luke",BEIS,7
"Pollard, Luke",Cabinet Office,6
"Pollard, Luke",Church Commissioners,1
"Pollard, Luke",DCLG,1
"Pollard, Luke",DDCMS,3
"Pollard, Luke",DEFRA,5
"Pollard, Luke",Department for Transport,9
"Pollard, Luke",Department of Health,2
"Pollard, Luke",DeXEU,8
"Pollard, Luke",DfE,6
"Pollard, Luke",DfID,2
"Pollard, Luke",DHSC,8
"Pollard, Luke",DWP,6
"Pollard, Luke",Electoral Commission,3
"Pollard, Luke",FCO,3
"Pollard, Luke",Home Office,2
"Pollard, Luke",House of Commons Commission,2
"Pollard, Luke",MHCLG,5
"Pollard, Luke",Ministry of Defence,17
"Pollard, Luke",Ministry of Justice,8
"Pollard, Luke",Northern Ireland Office,4
"Pollard, Luke",Prime Minister,12
"Pollard, Luke",Treasury,3
"Poulter, Daniel",DHSC,1
"Pound, Stephen",DEFRA,2
"Pound, Stephen",DHSC,1
"Pound, Stephen",DWP,3
"Pound, Stephen",Home Office,1
"Pound, Stephen",MHCLG,2
"Pound, Stephen",Ministry of Defence,3
"Pound, Stephen",Northern Ireland Office,15
"Pound, Stephen",Prime Minister,3
"Pow, Rebecca",Attorney General,6
"Pow, Rebecca",BEIS,8
"Pow, Rebecca",Cabinet Office,1
"Pow, Rebecca",DCMS,1
"Pow, Rebecca",DDCMS,8
"Pow, Rebecca",DEFRA,4
"Pow, Rebecca",Department for Transport,6
"Pow, Rebecca",Department of Health,4
"Pow, Rebecca",DeXEU,5
"Pow, Rebecca",DfE,11
"Pow, Rebecca",DfID,2
"Pow, Rebecca",DHSC,3
"Pow, Rebecca",DIT,4
"Pow, Rebecca",FCO,8
"Pow, Rebecca",Home Office,7
"Pow, Rebecca",MHCLG,10
"Pow, Rebecca",Minister for Women and Equalities,5
"Pow, Rebecca",Ministry of Defence,4
"Pow, Rebecca",Ministry of Justice,5
"Pow, Rebecca",Northern Ireland Office,2
"Pow, Rebecca",Prime Minister,12
"Pow, Rebecca",Treasury,7
"Pow, Rebecca",Wales Office,1
"Powell, Lucy",BEIS,9
"Powell, Lucy",Cabinet Office,5
"Powell, Lucy",DCLG,2
"Powell, Lucy",Department for Transport,1
"Powell, Lucy",Department of Health,4
"Powell, Lucy",DfE,17
"Powell, Lucy",DfID,3
"Powell, Lucy",DHSC,7
"Powell, Lucy",DWP,6
"Powell, Lucy",FCO,2
"Powell, Lucy",Home Office,6
"Powell, Lucy",MHCLG,3
"Powell, Lucy",Ministry of Justice,5
"Powell, Lucy",Prime Minister,7
"Powell, Lucy",Treasury,6
"Prentis, Victoria",Attorney General,2
"Prentis, Victoria",BEIS,2
"Prentis, Victoria",Cabinet Office,2
"Prentis, Victoria",Church Commissioners,4
"Prentis, Victoria",DDCMS,5
"Prentis, Victoria",DEFRA,3
"Prentis, Victoria",Department of Health,1
"Prentis, Victoria",DeXEU,2
"Prentis, Victoria",DfID,2
"Prentis, Victoria",DHSC,6
"Prentis, Victoria",DIT,3
"Prentis, Victoria",DWP,4
"Prentis, Victoria",FCO,6
"Prentis, Victoria",Minister for Women and Equalities,5
"Prentis, Victoria",Ministry of Defence,4
"Prentis, Victoria",Ministry of Justice,12
"Prentis, Victoria",Northern Ireland Office,8
"Prentis, Victoria",Prime Minister,10
"Prentis, Victoria",Treasury,2
"Prisk, Mark",DCLG,1
"Prisk, Mark",DIT,10
"Prisk, Mark",MHCLG,15
"Pritchard, Mark",Cabinet Office,1
"Pritchard, Mark",Department for Transport,1
"Pritchard, Mark",FCO,4
"Pritchard, Mark",Home Office,3
"Pritchard, Mark",Ministry of Defence,1
"Pritchard, Mark",Ministry of Justice,1
"Pritchard, Mark",Wales Office,1
"Pursglove, Tom",Attorney General,2
"Pursglove, Tom",BEIS,8
"Pursglove, Tom",Cabinet Office,8
"Pursglove, Tom",DCLG,1
"Pursglove, Tom",DCMS,2
"Pursglove, Tom",DDCMS,5
"Pursglove, Tom",DEFRA,9
"Pursglove, Tom",Department for Transport,16
"Pursglove, Tom",DeXEU,16
"Pursglove, Tom",DfE,15
"Pursglove, Tom",DfID,11
"Pursglove, Tom",DHSC,8
"Pursglove, Tom",DIT,8
"Pursglove, Tom",DWP,13
"Pursglove, Tom",FCO,4
"Pursglove, Tom",Home Office,17
"Pursglove, Tom",MHCLG,15
"Pursglove, Tom",Minister for Women and Equalities,10
"Pursglove, Tom",Ministry of Defence,12
"Pursglove, Tom",Ministry of Justice,17
"Pursglove, Tom",Northern Ireland Office,13
"Pursglove, Tom",Prime Minister,11
"Pursglove, Tom",Scotland Office,6
"Pursglove, Tom",Treasury,5
"Pursglove, Tom",Wales Office,13
"Quin, Jeremy",Attorney General,1
"Quin, Jeremy",BEIS,3
"Quin, Jeremy",Cabinet Office,2
"Quin, Jeremy",DCLG,2
"Quin, Jeremy",DDCMS,2
"Quin, Jeremy",Department for Transport,4
"Quin, Jeremy",DfE,7
"Quin, Jeremy",DIT,7
"Quin, Jeremy",DWP,2
"Quin, Jeremy",Ministry of Defence,8
"Quin, Jeremy",Ministry of Justice,4
"Quin, Jeremy",Northern Ireland Office,2
"Quin, Jeremy",Prime Minister,4
"Quin, Jeremy",Treasury,3
"Quince, Will",Attorney General,2
"Quince, Will",BEIS,5
"Quince, Will",Department of Health,2
"Quince, Will",DeXEU,2
"Quince, Will",DfE,3
"Quince, Will",DfID,4
"Quince, Will",DHSC,1
"Quince, Will",DIT,2
"Quince, Will",DWP,5
"Quince, Will",Home Office,5
"Quince, Will",MHCLG,5
"Quince, Will",Minister for Women and Equalities,1
"Quince, Will",Ministry of Defence,2
"Quince, Will",Prime Minister,4
"Quince, Will",Treasury,2
"Qureshi, Yasmin",FCO,1
"Qureshi, Yasmin",Ministry of Justice,16
"Qureshi, Yasmin",Prime Minister,6
"Raab, Dominic",BEIS,1
"Raab, Dominic",DfE,2
"Rashid, Faisal",Cabinet Office,4
"Rashid, Faisal",Department for Transport,4
"Rashid, Faisal",DHSC,2
"Rashid, Faisal",FCO,4
"Rashid, Faisal",MHCLG,4
"Rashid, Faisal",Ministry of Defence,2
"Rashid, Faisal",Ministry of Justice,2
"Rashid, Faisal",Prime Minister,1
"Rashid, Faisal",Scotland Office,2
"Rashid, Faisal",Treasury,2
"Rayner, Angela",DfE,35
"Redwood, John",Home Office,1
"Reed, Steve",BEIS,2
"Reed, Steve",DDCMS,3
"Reed, Steve",Department of Health,2
"Reed, Steve",DfE,1
"Reed, Steve",DHSC,2
"Reed, Steve",Home Office,2
"Reed, Steve",MHCLG,2
"Reed, Steve",Northern Ireland Office,1
"Reed, Steve",Prime Minister,9
"Rees, Christina",Wales Office,30
"Rees-Mogg, Jacob",BEIS,1
"Rees-Mogg, Jacob",DeXEU,1
"Rees-Mogg, Jacob",DfE,1
"Rees-Mogg, Jacob",DHSC,1
"Rees-Mogg, Jacob",FCO,1
"Rees-Mogg, Jacob",Prime Minister,5
"Rees-Mogg, Jacob",Treasury,3
"Reeves, Ellie",BEIS,2
"Reeves, Ellie",DCLG,2
"Reeves, Ellie",DDCMS,2
"Reeves, Ellie",DeXEU,2
"Reeves, Ellie",DfE,6
"Reeves, Ellie",DfID,5
"Reeves, Ellie",DHSC,7
"Reeves, Ellie",DWP,3
"Reeves, Ellie",FCO,2
"Reeves, Ellie",Home Office,8
"Reeves, Ellie",MHCLG,5
"Reeves, Ellie",Minister for Women and Equalities,3
"Reeves, Ellie",Ministry of Defence,2
"Reeves, Ellie",Ministry of Justice,20
"Reeves, Ellie",Prime Minister,6
"Reeves, Ellie",Treasury,6
"Reeves, Rachel",BEIS,24
"Reeves, Rachel",DfE,1
"Reeves, Rachel",FCO,1
"Reeves, Rachel",MHCLG,1
"Reeves, Rachel",Minister for Women and Equalities,1
"Reeves, Rachel",Ministry of Defence,1
"Reeves, Rachel",Ministry of Justice,3
"Reeves, Rachel",Prime Minister,5
"Reeves, Rachel",Treasury,8
"Reeves, Rachel",Wales Office,2
"Reynolds, Emma",Department for Transport,1
"Reynolds, Emma",DeXEU,1
"Reynolds, Emma",DfE,3
"Reynolds, Emma",DHSC,6
"Reynolds, Emma",DWP,2
"Reynolds, Emma",FCO,2
"Reynolds, Emma",Home Office,2
"Reynolds, Emma",MHCLG,4
"Reynolds, Emma",Ministry of Justice,5
"Reynolds, Emma",Prime Minister,4
"Reynolds, Emma",Treasury,2
"Reynolds, Jonathan",BEIS,1
"Reynolds, Jonathan",Department for Transport,1
"Reynolds, Jonathan",Prime Minister,4
"Reynolds, Jonathan",Treasury,14
"Rimmer, Marie",BEIS,4
"Rimmer, Marie",Department of Health,1
"Rimmer, Marie",DfE,1
"Rimmer, Marie",DHSC,6
"Rimmer, Marie",DWP,2
"Rimmer, Marie",FCO,2
"Rimmer, Marie",Home Office,2
"Rimmer, Marie",MHCLG,2
"Rimmer, Marie",Ministry of Justice,4
"Rimmer, Marie",Prime Minister,4
"Rimmer, Marie",Wales Office,2
"Robertson, Laurence",Attorney General,2
"Robertson, Laurence",BEIS,4
"Robertson, Laurence",DDCMS,1
"Robertson, Laurence",Department for Transport,4
"Robertson, Laurence",DfE,2
"Robertson, Laurence",DfID,4
"Robertson, Laurence",DHSC,6
"Robertson, Laurence",DIT,2
"Robertson, Laurence",DWP,6
"Robertson, Laurence",Home Office,3
"Robertson, Laurence",MHCLG,2
"Robertson, Laurence",Ministry of Defence,4
"Robertson, Laurence",Ministry of Justice,4
"Robertson, Laurence",Northern Ireland Office,6
"Robertson, Laurence",Prime Minister,2
"Robertson, Laurence",Treasury,3
"Robinson, Gavin",Attorney General,4
"Robinson, Gavin",BEIS,3
"Robinson, Gavin",Cabinet Office,2
"Robinson, Gavin",Church Commissioners,1
"Robinson, Gavin",DCLG,1
"Robinson, Gavin",DDCMS,2
"Robinson, Gavin",DEFRA,1
"Robinson, Gavin",DeXEU,1
"Robinson, Gavin",FCO,1
"Robinson, Gavin",Home Office,4
"Robinson, Gavin",Ministry of Defence,5
"Robinson, Gavin",Northern Ireland Office,9
"Robinson, Gavin",Prime Minister,2
"Robinson, Geoffrey",Department of Health,1
"Robinson, Geoffrey",Prime Minister,3
"Robinson, Mary",Attorney General,2
"Robinson, Mary",BEIS,1
"Robinson, Mary",DCLG,2
"Robinson, Mary",DDCMS,3
"Robinson, Mary",DEFRA,5
"Robinson, Mary",Department for Transport,2
"Robinson, Mary",DeXEU,3
"Robinson, Mary",DfE,11
"Robinson, Mary",DfID,9
"Robinson, Mary",DHSC,9
"Robinson, Mary",DIT,1
"Robinson, Mary",DWP,10
"Robinson, Mary",FCO,10
"Robinson, Mary",Home Office,6
"Robinson, Mary",MHCLG,8
"Robinson, Mary",Minister for Women and Equalities,2
"Robinson, Mary",Ministry of Defence,5
"Robinson, Mary",Ministry of Justice,6
"Robinson, Mary",Prime Minister,3
"Robinson, Mary",Wales Office,2
"Rodda, Matt",DDCMS,2
"Rodda, Matt",Department for Transport,18
"Rodda, Matt",DfE,2
"Rodda, Matt",DfID,2
"Rodda, Matt",FCO,2
"Rodda, Matt",Ministry of Defence,2
"Rosindell, Andrew",Cabinet Office,2
"Rosindell, Andrew",DDCMS,2
"Rosindell, Andrew",DEFRA,2
"Rosindell, Andrew",Department for Transport,10
"Rosindell, Andrew",DfE,2
"Rosindell, Andrew",DfID,6
"Rosindell, Andrew",DIT,3
"Rosindell, Andrew",DWP,1
"Rosindell, Andrew",Home Office,1
"Rosindell, Andrew",MHCLG,4
"Rosindell, Andrew",Minister for Women and Equalities,2
"Rosindell, Andrew",Ministry of Defence,4
"Rosindell, Andrew",Ministry of Justice,4
"Rosindell, Andrew",Northern Ireland Office,2
"Rosindell, Andrew",Prime Minister,9
"Rosindell, Andrew",Scotland Office,2
"Ross, Douglas",BEIS,5
"Ross, Douglas",Cabinet Office,2
"Ross, Douglas",DDCMS,2
"Ross, Douglas",DEFRA,6
"Ross, Douglas",Department for Transport,2
"Ross, Douglas",DIT,4
"Ross, Douglas",DWP,2
"Ross, Douglas",Home Office,5
"Ross, Douglas",Ministry of Defence,8
"Ross, Douglas",Ministry of Justice,4
"Ross, Douglas",Prime Minister,8
"Ross, Douglas",Scotland Office,14
"Ross, Douglas",Treasury,4
"Ross, Douglas",Wales Office,3
"Rowley, Danielle",Attorney General,2
"Rowley, Danielle",BEIS,4
"Rowley, Danielle",Cabinet Office,2
"Rowley, Danielle",DEFRA,2
"Rowley, Danielle",DeXEU,4
"Rowley, Danielle",DfID,4
"Rowley, Danielle",DIT,2
"Rowley, Danielle",DWP,4
"Rowley, Danielle",Home Office,2
"Rowley, Danielle",MHCLG,2
"Rowley, Danielle",Minister for Women and Equalities,8
"Rowley, Danielle",Ministry of Defence,2
"Rowley, Danielle",Northern Ireland Office,3
"Rowley, Danielle",Prime Minister,3
"Rowley, Danielle",Scotland Office,7
"Rowley, Danielle",Treasury,6
"Rowley, Lee",BEIS,3
"Rowley, Lee",Cabinet Office,2
"Rowley, Lee",DCLG,1
"Rowley, Lee",Department for Transport,3
"Rowley, Lee",DfE,3
"Rowley, Lee",DWP,2
"Rowley, Lee",MHCLG,6
"Rowley, Lee",Ministry of Justice,2
"Rowley, Lee",Northern Ireland Office,2
"Rowley, Lee",Prime Minister,1
"Rowley, Lee",Treasury,4
"Ruane, Chris",BEIS,2
"Ruane, Chris",Cabinet Office,2
"Ruane, Chris",DHSC,2
"Ruane, Chris",DWP,2
"Ruane, Chris",Electoral Commission,3
"Ruane, Chris",Home Office,2
"Ruane, Chris",MHCLG,3
"Ruane, Chris",Ministry of Defence,8
"Ruane, Chris",Ministry of Justice,1
"Ruane, Chris",Prime Minister,8
"Ruane, Chris",Wales Office,17
"Rudd, Amber",DfE,1
"Rudd, Amber",Home Office,1
"Rudd, Amber",Minister for Women and Equalities,1
"Rudd, Amber",Prime Minister,5
"Rudd, Amber",Treasury,1
"Russell-Moyle, Lloyd",BEIS,2
"Russell-Moyle, Lloyd",Cabinet Office,4
"Russell-Moyle, Lloyd",Department for Transport,2
"Russell-Moyle, Lloyd",DfE,2
"Russell-Moyle, Lloyd",DfID,3
"Russell-Moyle, Lloyd",DHSC,4
"Russell-Moyle, Lloyd",DIT,3
"Russell-Moyle, Lloyd",DWP,2
"Russell-Moyle, Lloyd",FCO,8
"Russell-Moyle, Lloyd",Home Office,4
"Russell-Moyle, Lloyd",MHCLG,4
"Russell-Moyle, Lloyd",Minister for Women and Equalities,1
"Russell-Moyle, Lloyd",Prime Minister,6
"Russell-Moyle, Lloyd",Treasury,4
"Russell-Moyle, Lloyd",Wales Office,2
"Ryan, Joan",Attorney General,1
"Ryan, Joan",BEIS,2
"Ryan, Joan",Cabinet Office,4
"Ryan, Joan",Church Commissioners,2
"Ryan, Joan",DDCMS,2
"Ryan, Joan",DEFRA,3
"Ryan, Joan",Department for Transport,2
"Ryan, Joan",DeXEU,2
"Ryan, Joan",DfE,2
"Ryan, Joan",DfID,3
"Ryan, Joan",DHSC,2
"Ryan, Joan",FCO,9
"Ryan, Joan",Home Office,2
"Ryan, Joan",Minister for Women and Equalities,2
"Ryan, Joan",Prime Minister,8
"Ryan, Joan",Treasury,2
"Sandbach, Antoinette",BEIS,14
"Sandbach, Antoinette",Cabinet Office,4
"Sandbach, Antoinette",DCMS,1
"Sandbach, Antoinette",DDCMS,3
"Sandbach, Antoinette",DEFRA,2
"Sandbach, Antoinette",Department of Health,2
"Sandbach, Antoinette",DeXEU,5
"Sandbach, Antoinette",DfE,4
"Sandbach, Antoinette",DfID,3
"Sandbach, Antoinette",DHSC,2
"Sandbach, Antoinette",FCO,1
"Sandbach, Antoinette",Home Office,4
"Sandbach, Antoinette",MHCLG,4
"Sandbach, Antoinette",Minister for Women and Equalities,2
"Sandbach, Antoinette",Prime Minister,14
"Sandbach, Antoinette",Scotland Office,1
"Sandbach, Antoinette",Treasury,8
"Sandbach, Antoinette",Wales Office,4
"Saville Roberts, Liz",BEIS,4
"Saville Roberts, Liz",DEFRA,2
"Saville Roberts, Liz",DeXEU,2
"Saville Roberts, Liz",DWP,1
"Saville Roberts, Liz",Home Office,2
"Saville Roberts, Liz",Minister for Women and Equalities,1
"Saville Roberts, Liz",Ministry of Justice,17
"Saville Roberts, Liz",Prime Minister,11
"Saville Roberts, Liz",Wales Office,31
"Scully, Paul",Attorney General,2
"Scully, Paul",Cabinet Office,1
"Scully, Paul",DCLG,1
"Scully, Paul",Department of Health,1
"Scully, Paul",DfID,1
"Scully, Paul",DHSC,1
"Scully, Paul",FCO,1
"Scully, Paul",Home Office,7
"Scully, Paul",Ministry of Defence,2
"Scully, Paul",Ministry of Justice,3
"Scully, Paul",Prime Minister,12
"Scully, Paul",Scotland Office,1
"Scully, Paul",Treasury,2
"Seely, Bob",DDCMS,2
"Seely, Bob",Department for Transport,4
"Seely, Bob",DIT,2
"Seely, Bob",FCO,6
"Seely, Bob",MHCLG,2
"Seely, Bob",Minister for Women and Equalities,2
"Seely, Bob",Ministry of Defence,1
"Seely, Bob",Ministry of Justice,2
"Seely, Bob",Treasury,3
"Seely, Bob",Wales Office,2
"Selous, Andrew",BEIS,1
"Selous, Andrew",Cabinet Office,2
"Selous, Andrew",DCLG,2
"Selous, Andrew",Department for Transport,6
"Selous, Andrew",Department of Health,2
"Selous, Andrew",DfE,1
"Selous, Andrew",DfID,2
"Selous, Andrew",DHSC,10
"Selous, Andrew",DWP,2
"Selous, Andrew",FCO,4
"Selous, Andrew",Home Office,4
"Selous, Andrew",MHCLG,2
"Selous, Andrew",Ministry of Justice,16
"Selous, Andrew",Prime Minister,13
"Selous, Andrew",Treasury,4
"Shah, Naseem",DWP,2
"Shah, Naseem",Minister for Women and Equalities,7
"Shah, Naseem",Prime Minister,4
"Shannon, Jim",Attorney General,12
"Shannon, Jim",BEIS,17
"Shannon, Jim",Cabinet Office,5
"Shannon, Jim",Church Commissioners,12
"Shannon, Jim",DCLG,1
"Shannon, Jim",DCMS,1
"Shannon, Jim",DDCMS,11
"Shannon, Jim",DEFRA,17
"Shannon, Jim",Department for Transport,14
"Shannon, Jim",Department of Health,3
"Shannon, Jim",DeXEU,12
"Shannon, Jim",DfE,3
"Shannon, Jim",DfID,6
"Shannon, Jim",DHSC,14
"Shannon, Jim",DIT,14
"Shannon, Jim",Electoral Commission,2
"Shannon, Jim",FCO,14
"Shannon, Jim",Home Office,2
"Shannon, Jim",MHCLG,3
"Shannon, Jim",Minister for Women and Equalities,11
"Shannon, Jim",Ministry of Defence,2
"Shannon, Jim",Ministry of Justice,21
"Shannon, Jim",Northern Ireland Office,12
"Shannon, Jim",Prime Minister,10
"Shannon, Jim",Treasury,13
"Sharma, Virendra",Attorney General,2
"Sharma, Virendra",BEIS,5
"Sharma, Virendra",Cabinet Office,2
"Sharma, Virendra",DCLG,2
"Sharma, Virendra",DDCMS,4
"Sharma, Virendra",Department for Transport,4
"Sharma, Virendra",DeXEU,8
"Sharma, Virendra",DfE,8
"Sharma, Virendra",DHSC,2
"Sharma, Virendra",DIT,4
"Sharma, Virendra",DWP,2
"Sharma, Virendra",FCO,11
"Sharma, Virendra",Home Office,8
"Sharma, Virendra",Minister for Women and Equalities,1
"Sharma, Virendra",Ministry of Defence,3
"Sharma, Virendra",Ministry of Justice,8
"Sharma, Virendra",Northern Ireland Office,2
"Sharma, Virendra",Prime Minister,14
"Sharma, Virendra",Treasury,4
"Sheerman, Barry",Attorney General,14
"Sheerman, Barry",BEIS,20
"Sheerman, Barry",Cabinet Office,8
"Sheerman, Barry",Church Commissioners,13
"Sheerman, Barry",DCLG,3
"Sheerman, Barry",DDCMS,15
"Sheerman, Barry",DEFRA,15
"Sheerman, Barry",Department for Transport,17
"Sheerman, Barry",Department of Health,3
"Sheerman, Barry",DeXEU,21
"Sheerman, Barry",DfE,16
"Sheerman, Barry",DfID,8
"Sheerman, Barry",DHSC,14
"Sheerman, Barry",DIT,17
"Sheerman, Barry",DWP,13
"Sheerman, Barry",Electoral Commission,4
"Sheerman, Barry",FCO,21
"Sheerman, Barry",Home Office,14
"Sheerman, Barry",MHCLG,16
"Sheerman, Barry",Minister for Women and Equalities,11
"Sheerman, Barry",Ministry of Defence,18
"Sheerman, Barry",Ministry of Justice,20
"Sheerman, Barry",Northern Ireland Office,1
"Sheerman, Barry",Prime Minister,8
"Sheerman, Barry",Treasury,17
"Sheerman, Barry",Wales Office,1
"Shelbrooke, Alec",Department for Transport,2
"Shelbrooke, Alec",FCO,3
"Shelbrooke, Alec",Prime Minister,7
"Sheppard, Tommy",Attorney General,3
"Sheppard, Tommy",BEIS,2
"Sheppard, Tommy",Cabinet Office,15
"Sheppard, Tommy",DDCMS,2
"Sheppard, Tommy",Department for Transport,4
"Sheppard, Tommy",DfID,1
"Sheppard, Tommy",DHSC,4
"Sheppard, Tommy",FCO,8
"Sheppard, Tommy",MHCLG,2
"Sheppard, Tommy",Minister for Women and Equalities,2
"Sheppard, Tommy",Northern Ireland Office,8
"Sheppard, Tommy",Prime Minister,6
"Sheppard, Tommy",Scotland Office,27
"Sheppard, Tommy",Treasury,4
"Sheppard, Tommy",Wales Office,12
"Sherriff, Paula",BEIS,6
"Sherriff, Paula",DEFRA,4
"Sherriff, Paula",Department for Transport,9
"Sherriff, Paula",Department of Health,4
"Sherriff, Paula",DeXEU,2
"Sherriff, Paula",DfE,8
"Sherriff, Paula",DHSC,11
"Sherriff, Paula",DIT,4
"Sherriff, Paula",DWP,8
"Sherriff, Paula",FCO,2
"Sherriff, Paula",Home Office,6
"Sherriff, Paula",MHCLG,5
"Sherriff, Paula",Minister for Women and Equalities,7
"Sherriff, Paula",Ministry of Justice,5
"Sherriff, Paula",Prime Minister,10
"Sherriff, Paula",Treasury,4
"Shuker, Gavin",BEIS,2
"Shuker, Gavin",DCLG,2
"Shuker, Gavin",DfE,4
"Shuker, Gavin",DWP,2
"Shuker, Gavin",FCO,4
"Shuker, Gavin",Home Office,2
"Shuker, Gavin",House of Commons Commission,2
"Shuker, Gavin",Northern Ireland Office,2
"Shuker, Gavin",Prime Minister,4
"Siddiq, Tulip",DfE,2
"Siddiq, Tulip",FCO,2
"Siddiq, Tulip",Prime Minister,4
"Simpson, David",BEIS,1
"Simpson, David",DEFRA,3
"Simpson, David",Northern Ireland Office,8
"Simpson, David",Prime Minister,4
"Simpson, Keith",Ministry of Defence,1
"Simpson, Keith",Prime Minister,2
"Skidmore, Chris",Cabinet Office,1
"Skidmore, Chris",Department for Transport,1
"Skidmore, Chris",DfE,1
"Skidmore, Chris",DHSC,2
"Skidmore, Chris",Home Office,1
"Skidmore, Chris",MHCLG,2
"Skidmore, Chris",Prime Minister,2
"Skidmore, Chris",Treasury,1
"Skinner, Dennis",BEIS,5
"Skinner, Dennis",DDCMS,3
"Skinner, Dennis",DEFRA,1
"Skinner, Dennis",Department for Transport,8
"Skinner, Dennis",DHSC,5
"Skinner, Dennis",DIT,2
"Skinner, Dennis",MHCLG,1
"Skinner, Dennis",Prime Minister,7
"Skinner, Dennis",Treasury,1
"Slaughter, Andy",BEIS,4
"Slaughter, Andy",DCLG,1
"Slaughter, Andy",Department for Transport,2
"Slaughter, Andy",DeXEU,4
"Slaughter, Andy",DfID,2
"Slaughter, Andy",DHSC,4
"Slaughter, Andy",FCO,8
"Slaughter, Andy",MHCLG,6
"Slaughter, Andy",Ministry of Defence,1
"Slaughter, Andy",Ministry of Justice,5
"Slaughter, Andy",Prime Minister,2
"Slaughter, Andy",Treasury,2
"Smeeth, Ruth",BEIS,2
"Smeeth, Ruth",DDCMS,2
"Smeeth, Ruth",DfE,4
"Smeeth, Ruth",DHSC,1
"Smeeth, Ruth",DWP,3
"Smeeth, Ruth",Home Office,2
"Smeeth, Ruth",MHCLG,4
"Smeeth, Ruth",Ministry of Defence,7
"Smeeth, Ruth",Prime Minister,4
"Smeeth, Ruth",Treasury,2
"Smith, Angela C",BEIS,4
"Smith, Angela C",DEFRA,10
"Smith, Angela C",Ministry of Defence,3
"Smith, Angela C",Ministry of Justice,1
"Smith, Angela C",Prime Minister,6
"Smith, Angela C",Treasury,2
"Smith, Cat",Cabinet Office,14
"Smith, Cat",DDCMS,3
"Smith, Cat",DEFRA,1
"Smith, Cat",Department for Transport,3
"Smith, Cat",DfE,1
"Smith, Cat",DWP,3
"Smith, Cat",MHCLG,2
"Smith, Cat",Ministry of Justice,1
"Smith, Eleanor",BEIS,6
"Smith, Eleanor",DDCMS,2
"Smith, Eleanor",DeXEU,2
"Smith, Eleanor",DfE,4
"Smith, Eleanor",DHSC,8
"Smith, Eleanor",DWP,9
"Smith, Eleanor",MHCLG,2
"Smith, Eleanor",Ministry of Defence,2
"Smith, Eleanor",Ministry of Justice,5
"Smith, Eleanor",Prime Minister,6
"Smith, Eleanor",Treasury,1
"Smith, Henry",BEIS,7
"Smith, Henry",Cabinet Office,2
"Smith, Henry",Church Commissioners,2
"Smith, Henry",DEFRA,6
"Smith, Henry",Department for Transport,3
"Smith, Henry",DeXEU,2
"Smith, Henry",DfE,5
"Smith, Henry",DfID,8
"Smith, Henry",DHSC,3
"Smith, Henry",DIT,2
"Smith, Henry",DWP,13
"Smith, Henry",FCO,10
"Smith, Henry",Home Office,6
"Smith, Henry",MHCLG,5
"Smith, Henry",Ministry of Defence,9
"Smith, Henry",Ministry of Justice,5
"Smith, Henry",Northern Ireland Office,2
"Smith, Henry",Prime Minister,8
"Smith, Henry",Treasury,3
"Smith, Jeff",Attorney General,2
"Smith, Jeff",BEIS,7
"Smith, Jeff",Cabinet Office,4
"Smith, Jeff",DDCMS,6
"Smith, Jeff",DEFRA,8
"Smith, Jeff",Department for Transport,4
"Smith, Jeff",Department of Health,2
"Smith, Jeff",DeXEU,8
"Smith, Jeff",DfE,4
"Smith, Jeff",DfID,2
"Smith, Jeff",DHSC,7
"Smith, Jeff",DIT,2
"Smith, Jeff",DWP,4
"Smith, Jeff",FCO,11
"Smith, Jeff",Home Office,2
"Smith, Jeff",MHCLG,6
"Smith, Jeff",Ministry of Defence,10
"Smith, Jeff",Ministry of Justice,6
"Smith, Jeff",Northern Ireland Office,4
"Smith, Jeff",Prime Minister,12
"Smith, Jeff",Scotland Office,2
"Smith, Jeff",Wales Office,2
"Smith, Laura",BEIS,6
"Smith, Laura",Cabinet Office,9
"Smith, Laura",DEFRA,2
"Smith, Laura",DfE,2
"Smith, Laura",DfID,2
"Smith, Laura",DHSC,4
"Smith, Laura",DWP,7
"Smith, Laura",FCO,2
"Smith, Laura",Home Office,6
"Smith, Laura",MHCLG,1
"Smith, Laura",Ministry of Justice,4
"Smith, Laura",Prime Minister,5
"Smith, Laura",Treasury,4
"Smith, Laura",Wales Office,4
"Smith, Nick",Attorney General,4
"Smith, Nick",BEIS,2
"Smith, Nick",Cabinet Office,4
